,revenues,ebit,employees,market_cap,outstanding_shares,stock_price,industry_automobiles,industry_finance,industry_technology
0,98946612535.10822,33687912805.525726,39161.28457509505,861016593815.1229,8920990424.347172,98.094204636325,0.0,0.0,1.0
1,89894234225.87163,54211959014.34602,36333.01190386573,1169810596542.9072,18179619660.56375,64.92508098634804,0.0,0.0,1.0
2,87835729987.72533,42236904582.92787,86764.93605958573,773773808822.4977,6672159502.358902,120.55832643267772,0.0,0.0,1.0
3,79035554151.57446,29215411805.72972,157253.9411911922,662423336481.2314,4560541299.250362,148.06037784747969,0.0,0.0,1.0
4,75312164956.06969,33333251691.186367,85562.80029466184,635253094880.0964,12537707581.862356,50.60317466209972,0.0,0.0,1.0
5,78046628176.57715,42679393052.619095,1386.769715067048,863757701009.2933,4880179704.322464,181.51660268180612,0.0,0.0,1.0
6,69313766136.92058,31321335261.09384,34709.25317878141,534050607587.4038,6516228483.162616,82.51739193114237,0.0,0.0,1.0
7,83121910010.34218,26938367614.362083,103786.09293616492,386039833252.8652,3772607498.771831,104.77403329674368,0.0,0.0,1.0
8,73667752465.56264,29807242042.68888,44731.84548406371,444566772618.7886,7659454201.503165,56.93282211013272,0.0,0.0,1.0
9,63034943519.11633,40847789314.8718,103998.10474504562,647633599811.0259,9873523137.530294,64.86107511970708,0.0,0.0,1.0
10,91573867537.77489,37725991918.31425,38488.06919796277,424039860229.0496,15053417875.51233,28.534771386199004,0.0,0.0,1.0
11,92673436802.13828,51767352914.13872,36145.28328159341,941371897882.7028,7909533562.214087,116.03198468954676,0.0,0.0,1.0
12,71907828562.48845,35995734617.35765,102751.0987488359,829577390876.803,3963030248.300979,203.1837205362104,0.0,0.0,1.0
13,97523692468.3718,32815690919.83993,30876.571408232743,708852526209.8301,70605747033.89998,10.056310329692616,0.0,0.0,1.0
14,79359803418.89008,26381631454.768703,138514.92434177065,151097394068.96744,874996916.3999435,173.70903828605572,0.0,0.0,1.0
15,101508054009.89725,48189333485.8972,143400.4921622339,388059752254.2259,2363944447.106004,166.85710382445853,0.0,0.0,1.0
16,98162092596.74136,38411258115.58421,218905.01497980632,764882481721.8362,6341261155.082974,119.7998675583131,0.0,0.0,1.0
17,82331970731.7774,58035687566.37749,154411.61586421874,532630040606.55286,7323482678.314263,72.2605694304429,0.0,0.0,1.0
18,90729749450.84474,38777516851.97236,83426.2327770573,259881572732.63663,16401577680.342188,15.510129828612822,0.0,0.0,1.0
19,67668265472.07733,32803811639.64221,17292.316794419756,153839021390.09436,1250455825.9339442,121.61432475384214,0.0,0.0,1.0
20,94137177404.0968,47189309231.16219,72357.26182796105,405036013317.5086,4496558346.256743,87.79848809854312,0.0,0.0,1.0
21,68052023512.75578,38693478604.33794,80950.13884496951,785148685061.9417,105135545132.83524,7.594431003803734,0.0,0.0,1.0
22,89188325011.41862,35259701811.66761,15753.149461705889,348039770560.8328,9158597898.173714,37.88749371503017,0.0,0.0,1.0
23,67554300235.189255,31849294453.29541,119497.96759651417,303578312482.4237,4432024708.662948,67.35619672618155,0.0,0.0,1.0
24,80091648601.17728,32476643638.068542,75128.39735229609,738260608788.7928,414473573855.8601,1.809536605134536,0.0,0.0,1.0
25,96655180375.77058,42373569112.62078,127853.41610083966,915247436587.2484,10428248626.491528,86.32349082855703,0.0,0.0,1.0
26,60866123281.812,33156207067.13177,43586.86995642523,506169120998.3721,3624190065.094593,133.9821756605835,0.0,0.0,1.0
27,61623640146.28608,21253852098.621063,28175.54073964364,174767381695.54745,12759137176.677174,13.963200306313109,0.0,0.0,1.0
28,83793882851.24686,28991685005.733604,9999.786273243311,274242916687.29025,2264119031.6791506,123.82801748031513,0.0,0.0,1.0
29,71099388852.33757,29339975965.257877,2724.5693115423514,574251362877.9425,7356316696.11076,75.36657031631364,0.0,0.0,1.0
30,91127028634.25778,38685004195.038376,53265.76370713602,503910277746.7548,14060830224.200409,36.26129224407404,0.0,0.0,1.0
31,78327184318.18916,38756728563.83234,253069.5306428224,639981382613.1709,9190701295.967264,68.93230889482035,0.0,0.0,1.0
32,87956941623.69548,46079737515.28347,23456.92896190396,915386143317.485,17278640836.49192,53.321570766429375,0.0,0.0,1.0
